State,CMS Certification Number (CCN)*,Provider Name,Address,City,Zip,Phone,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Date Certified,HHCAHPS Survey Summary Star Rating,Star Rating for health team gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),"Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Response rate,Score,Offers,Total Score,"Good, Medium, Bad"
CA,59320,MISSION HOSPICE AND HOME CARE,"1670 SOUTH AMPHLETT BLVD., SUITE 300",SAN MATEO,94402,6505541000,Local,50,50,50,50,50,50,8/31/2011,4,5,93,4,86,2,80,5,94,91,84,27,844,300,1144,Good
FL,107727,CAIRO HOME CARE - DADE,6500 COW PEN RD STE 304,MIAMI LAKES,33014,3058273667,Local,50,50,50,50,50,50,9/10/2002,4,5,97,4,88,3,82,4,89,88,61,29,844,300,1144,Good
IL,147855,"CARE SOLUTIONS, INC","365 MILLENNIUM DRIVE, STE D",CRYSTAL LAKE,60012,8153014034,Local,50,50,50,50,50,50,3/6/2006,4,4,86,5,87,4,85,4,81,85,51,26,844,300,1144,Good
IL,148194,"RELIABLE HOME CARE PROVIDER, INC","430 N MILWAUKEE AVE, STE 205",LINCOLNSHIRE,60069,8478838555,Local,50,50,50,50,50,50,8/31/2010,4,4,85,4,87,5,89,4,85,78,81,21,844,300,1144,Good
MD,217123,"HOMECALL, INC","4701 MOUNT HOPE DRIVE, SUITE A",BALTIMORE,21215,4106440105,Local,50,50,50,50,50,50,9/14/1987,4,5,91,4,86,5,90,3,84,73,101,21,844,300,1144,Good
NV,297054,SAINT ROSE DOMINICAN HOSPITAL HOME HEALTH SERVICES,1776 E WARM SPRINGS STE 202,LAS VEGAS,89119,7026164476,Hospital Based Program,50,50,50,50,50,50,5/18/1994,4,5,91,5,88,4,85,3,84,76,197,27,844,300,1144,Good
TX,679399,BASEL MISSION HOME HEALTH SERVICES LLC,"214 N 16TH ST, STE 110",MCALLEN,78501,9563318156,Local,50,50,50,50,50,50,12/30/2003,4,5,91,4,88,5,89,3,85,71,51,17,844,300,1144,Good
TX,679654,CARE OF EXCELLENCE HOME HEALTH,751 US HIGHWAY 287 NORTH SUITE 104,MANSFIELD,76063,8178424263,Local,50,50,50,50,50,50,8/20/2007,4,5,94,5,92,2,80,4,91,87,72,42,844,300,1144,Good
TX,747748,HAVEN SKILLED SERVICES LLC,500 S DR EE DUNLAP ST SUITE A & B,SAN DIEGO,78384,3612797159,Official Health Agency,50,50,50,50,50,50,9/11/2012,4,4,90,4,89,5,89,3,84,92,46,27,844,300,1144,Good
VA,497603,INTERIM HEALTHCARE OF CEDAR BLUFF,2703 STEELSBURG HWY,CEDAR BLUFF,24609,2769886703,Local,50,50,50,50,50,50,11/4/2005,4,5,92,5,93,2,79,4,92,88,97,25,844,300,1144,Good
CT,77113,BETHEL VNA INC,70 STONY HILL ROAD,BETHEL,6801,2037920864,Visiting Nurse Association,50,50,50,50,50,50,10/1/1974,4,5,93,4,88,2,80,5,93,89,152,43,843,300,1143,Good
FL,107747,"ANCHOR HOME HEALTH SERVICES, LLC",3725 SE OCEAN BLVD STE 205,STUART,34996,7724636016,Local,50,50,50,50,50,50,12/18/2002,4,4,90,5,89,3,82,4,90,92,266,48,843,300,1143,Good
IL,148153,"VITA HEALTH CARE, INC",342 ANTHONY TRAIL,NORTHBROOK,60062,8779686388,Local,50,50,50,50,50,50,6/10/2010,4,4,90,4,89,5,91,3,87,86,52,29,843,300,1143,Good
NE,287106,COMMUNITY HEALTHCARE AND HOSPICE,711 EAST 11TH STREET SUITE A,MCCOOK,69001,3083448356,Hospital Based Program,50,50,50,50,50,50,6/27/1996,4,5,94,5,89,3,81,3,87,92,53,30,843,300,1143,Good
OH,368248,"ADVANTAGE HOME HEALTH SERVICES, INC",7951 PITTSBURG AVENUE NW,NORTH CANTON,44720,3304918161,Local,50,50,50,50,50,50,6/13/2009,4,4,88,4,85,5,88,4,86,76,272,30,843,300,1143,Good
PA,397786,AT HOME REHAB LLC,542 STREET ROAD,SOUTHAMPTON,18966,2152304140,Visiting Nurse Association,50,50,50,50,50,50,1/11/2004,4,5,90,4,91,3,84,4,89,89,61,25,843,300,1143,Good
TX,677264,DIRECT HEALTH CARE INC,7402 UNIVERSITY AVE,LUBBOCK,79423,8067933999,Local,50,50,50,50,50,50,5/29/1990,4,4,88,5,88,4,85,4,88,74,64,26,843,300,1143,Good
IA,167056,GREENBELT HOME CARE,2411 EDGINGTON AVENUE,ELDORA,50627,6419398444,Official Health Agency,50,50,50,50,50,50,2/1/1973,4,4,89,5,90,3,81,4,91,91,126,53,842,300,1142,Good
KS,177181,ATCHISON HOSPITAL HH CARE SERVICES,800 RAVEN HILL DRIVE,ATCHISON,66002,9133605520,Hospital Based Program,50,50,50,50,50,50,4/6/1987,4,5,93,5,94,3,84,3,83,88,92,34,842,300,1142,Good
ND,357029,SANFORD HOME CARE,910 18TH ST NW,MANDAN,58554,7013238400,Hospital Based Program,50,50,50,50,50,50,10/25/1984,4,5,89,4,83,4,86,4,85,79,118,32,842,300,1142,Good
NV,297155,ADVENT HOME HEALTH,700 E SILVERADO RANCH BLVD STE 150,LAS VEGAS,89183,7022604231,Local,50,50,50,50,50,50,11/20/2008,4,5,91,5,89,4,87,3,80,75,70,28,842,300,1142,Good
NY,337415,LOURDES AT HOME CHHA,4102 OLD VESTAL ROAD,VESTAL,13850,6077721598,Hospital Based Program,50,50,50,50,50,50,7/22/1999,4,5,93,4,88,3,84,4,91,86,362,36,842,300,1142,Good
OK,377598,ADVANCED HOMECARE SERVICES,1104 N WASHINGTON AVE,WEATHERFORD,73096,5807721000,Local,50,50,50,50,0,0,6/10/1997,5,5,95,5,95,5,92,4,92,88,41,33,942,200,1142,Good
WI,527275,WOODLAND VILLAGE HOME HEALTH,425 MANOR DRIVE,SURING,54174,9208424132,Official Health Agency,50,50,50,50,0,50,10/9/2001,5,4,87,5,87,5,89,4,89,80,120,56,892,250,1142,Good
GA,117041,"COOSA VALLEY HOME HEALTH, AN AMEDISYS","160 THREE RIVERS DRIVE, NE, SUITE 1100",ROME,30161,7062918867,Local,50,50,50,50,50,50,7/3/1978,4,4,90,4,88,4,86,4,89,88,370,25,841,300,1141,Good
MN,247241,KINDRED AT HOME,952 EAST SUPERIOR STREET SUITE 104,DULUTH,55802,8006772244,Local,50,50,50,50,50,50,12/10/1987,4,5,91,5,88,4,85,3,82,75,165,32,841,300,1141,Good
TN,447125,NHC HOMECARE COLUMBIA,915 S JAMES CAMPBELL BLVD,COLUMBIA,38401,9313811234,Visiting Nurse Association,50,50,50,50,50,50,12/2/1977,4,4,90,5,90,4,87,3,87,87,387,34,841,300,1141,Good
TN,447424,SAINT THOMAS HOME HEALTH,135 EAST SWAN ST,CENTERVILLE,37033,9317294271,Official Health Agency,50,50,50,50,0,0,6/13/1984,5,5,94,5,93,4,86,5,93,95,53,45,941,200,1141,Good
TX,458193,FIRST TEXAS HOME HEALTH,501 NORTH UNION STREET,WHITESBORO,76273,9035649111,Local,50,50,50,50,50,50,10/5/1994,4,5,92,4,88,3,83,4,90,88,200,34,841,300,1141,Good
TX,679048,SETON HOME CARE,"1300 DACY LANE, SUITE 170",KYLE,78640,5125493490,Local,50,50,50,50,50,0,5/25/2001,5,5,92,5,88,4,86,4,86,79,111,29,891,250,1141,Good
TX,679299,PRIMAVERA HOME HEALTH PC,7812 GATEWAY EAST STE 210,EL PASO,79915,9157718282,Official Health Agency,50,50,50,50,50,50,6/24/2003,4,4,90,4,88,4,87,4,89,87,87,32,841,300,1141,Good
AL,17026,KINDRED AT HOME,"2100 RIVERCHASE CTR, STE 450",HOOVER,35244,2057397800,Local,50,50,50,50,50,50,3/29/1979,4,4,91,4,89,4,87,4,89,84,291,26,840,300,1140,Good
CA,58278,VN HOME HEALTH CARE,"2528 QUME DRIVE, #7",SAN JOSE,95131,4089980550,Local,50,50,50,50,50,50,10/29/2004,4,4,91,4,88,4,87,4,89,85,163,38,840,300,1140,Good
MI,237592,ADVANTAGE HOMECARE,1404 EUREKA ROAD,WYANDOTTE,48192,7342822627,Local,50,50,50,50,50,50,10/23/2005,4,4,89,5,89,5,88,3,85,69,79,31,840,300,1140,Good
MO,267093,MONTGOMERY COUNTY HEALTH DEPARTMENT,400 NORTH SALISBURY,MONTGOMERY CITY,63361,5735642495,Local,50,50,50,0,0,50,1/5/1982,5,5,96,5,95,4,86,5,89,94,73,52,940,200,1140,Good
OK,377692,"CARTER HEALTHCARE OF OKLAHOMA, LLC",210 EAST GRAHAM,PRYOR,74361,9183230269,Local,50,50,50,50,50,50,8/10/2005,4,5,92,5,92,4,87,3,79,70,48,38,840,300,1140,Good
CA,57736,EMANATE HEALTH HOME CARE,820 N PHILLIPS AVE,WEST COVINA,91791,6268592266,Local,50,50,50,50,50,50,2/26/1986,4,4,87,4,80,5,91,4,90,71,48,19,839,300,1139,Good
FL,109776,WAYPOINT HOME HEALTH CARE,115 S PARK AVE,TITUSVILLE,32796,3212672950,Local,50,50,50,50,50,0,4/22/2012,5,5,92,5,89,4,85,4,86,77,201,31,889,250,1139,Good
IN,157611,NORTHWEST HOME HEALTH CARE INC,"9011 INDIANAPOLIS BOULEVARD, SUITE B",HIGHLAND,46322,2195955448,Official Health Agency,50,50,50,0,50,50,9/30/2009,5,4,92,4,85,5,89,5,93,70,42,25,889,250,1139,Good
LA,197312,THE MEDICAL TEAM INC,4722 HIGHWAY 311,HOUMA,70360,9858726666,Local,50,50,50,50,50,50,5/22/1980,4,4,91,5,91,3,84,4,90,83,204,24,839,300,1139,Good
MD,217809,GARRETT COUNTY HEALTH DEPARTMENT,1025 MEMORIAL AVENUE,OAKLAND,21550,3013347750,Official Health Agency,50,50,50,50,50,50,7/1/1987,4,5,91,4,87,3,83,4,90,88,193,41,839,300,1139,Good
ME,207012,CHANS HOME HEALTH CARE,60 BARIBEAU DRIVE,BRUNSWICK,4011,2077296782,Visiting Nurse Association,50,50,50,50,50,50,10/17/1966,4,4,90,5,89,3,83,4,88,89,470,41,839,300,1139,Good
VT,477014,ADDISON COUNTY HOME HEALTH & HOSPICE  INC,PO BOX 754,MIDDLEBURY,5753,8023887259,Official Health Agency,50,50,50,50,50,50,4/22/1970,4,4,89,4,87,4,85,4,87,91,309,38,839,300,1139,Good
WV,517062,"BRAXTON COUNTY MEMORIAL HOSPITAL, HHA",100 HOYLMAN DRIVE,GASSAWAY,26624,3043641063,Hospital Based Program,50,50,0,0,50,50,3/14/1986,5,5,96,5,89,4,85,5,98,91,96,46,939,200,1139,Good
FL,107088,USA HOME HEALTH SERVICES,760 PONCE DE LEON BLVD STE 100,CORAL GABLES,33134,3058895332,Local,50,50,50,50,50,50,4/16/1974,4,5,92,4,90,2,76,5,98,82,41,14,838,300,1138,Good
FL,107134,"VISITING NURSE ASSOC. OF INDIAN RIVER COUNTY, INC.",1110 35 TH LN,VERO BEACH,32960,7725675551,Visiting Nurse Association,50,50,50,50,50,50,12/1/1975,4,4,90,5,88,3,84,4,88,88,363,37,838,300,1138,Good
FL,107654,"EMPATHY CARE, INC.",4731 W ATLANTIC AVE STE 7,DELRAY BEACH,33445,5613959101,Local,50,50,50,50,50,50,6/15/2001,4,5,92,4,90,3,82,4,91,83,71,35,838,300,1138,Good
GA,117058,GEORGIA HOME HEALTH SERVICES,4380 KINGS WAY,VALDOSTA,31602,2292474665,Official Health Agency,50,50,50,50,50,50,6/25/1979,4,4,91,4,87,4,87,4,89,84,408,25,838,300,1138,Good
GA,117316,"ATKINSON VISITING NURSES SERVICE, INC",380  ROBERTS AVENUE EAST,PEARSON,31642,9124223293,Local,50,50,0,50,0,50,1/6/1982,5,5,93,5,90,4,87,5,95,93,90,35,938,200,1138,Good
HI,127019,KOHALA HOME HEALTH CARE OF NORTH HI COMM HOSP,67-1125 MAMALAHOA HIGHWAY,KAMUELA,96743,8088814711,Hospital Based Program,50,50,50,50,50,50,5/22/1990,4,3,88,5,90,5,90,3,87,83,54,22,838,300,1138,Good
IL,148072,LIFE OPTIONS HEALTH SERVICES,4001 W DEVON AVE SUITE 409,CHICAGO,60646,7736287499,Local,50,50,50,50,50,50,8/11/2009,4,4,90,4,87,5,91,3,88,82,49,28,838,300,1138,Good
IL,148208,"PEAK HOME HEALTH CARE, LLC",920 ESSINGTON ROAD,JOLIET,60435,8157444770,Local,50,50,50,50,50,50,2/8/2011,4,5,91,4,87,3,83,4,91,86,564,38,838,300,1138,Good
LA,197159,LOUISIANA HOMECARE OF ALEXANDRIA,6501 COLISEUM BLVD SUITE 700 D,ALEXANDRIA,71303,3184277756,Local,50,50,50,50,50,50,12/27/1984,4,4,89,5,92,4,87,3,87,83,80,23,838,300,1138,Good
LA,197253,KINDRED AT HOME,"5955 CYPRESS STREET , UNIT C AND D",WEST MONROE,71291,3188050106,Local,50,50,50,50,50,50,10/2/1989,4,4,91,5,90,3,84,4,88,85,274,29,838,300,1138,Good
NC,347186,TRANSITIONS LIFECARE,250 HOSPICE CIRCLE,RALEIGH,27607,9198280890,Local,50,50,50,50,50,50,10/11/1991,4,4,90,4,86,5,89,3,89,84,128,29,838,300,1138,Good
OH,368168,CAMBRIDGE CARETENDERS,"4974 HIGBEE AVENUE NW, SUITE 103 AND 104",CANTON,44718,3304923339,Local,50,50,50,50,50,50,1/19/2007,4,5,90,4,88,5,91,3,80,69,81,28,838,300,1138,Good
SC,427117,GENTIVA HEALTH SERVICES,"206 CHESNEE HIGHWAY, SUITE G & H",GAFFNEY,29341,8644880898,Local,50,50,50,50,50,50,6/13/2007,4,4,91,5,91,4,86,3,85,85,321,30,838,300,1138,Good
VA,497662,VIRGINIAN HOME HEALTH SERVICES,9229 ARLINGTON BLVD,FAIRFAX,22031,7032596351,Local,50,50,50,50,50,50,10/12/2010,4,5,93,5,90,2,77,4,90,88,126,32,838,300,1138,Good
AL,17125,KELLER HOME CARE,116 4TH AVENUE SE,RED BAY,35582,2563568160,Local,50,50,50,50,50,50,1/20/1994,4,4,90,4,88,5,89,3,86,84,378,34,837,300,1137,Good
AL,17149,ST VINCENT'S HOME HEALTH OF JEFFERSON COUNTY,"1400 URBAN CENTER DRIVE, SUITE 240",BIRMINGHAM,35242,2053132800,Local,50,50,50,50,50,50,7/12/2000,4,5,91,4,88,4,85,3,88,85,428,28,837,300,1137,Good
AL,17182,FIVE POINTS HOME HEALTH,"100 CONCOURSE PARKWAY, SUITE 120",HOOVER,35244,2052353232,Local,50,50,50,50,50,50,8/19/2016,4,4,90,5,90,3,82,4,90,85,81,24,837,300,1137,Good
AR,47052,UNITY HEALTH HARRIS HOME HEALTH,2000 MCLAIN STREET,NEWPORT,72112,5012792777,Hospital Based Program,50,50,50,0,0,50,8/3/1982,5,5,94,5,92,4,85,5,98,88,89,41,937,200,1137,Good
IN,157594,EXCEL HOME HEALTH CARE LLC,1102 S LEBANON ST,LEBANON,46052,7654826680,Official Health Agency,50,50,50,50,50,50,9/18/2007,4,5,93,5,93,2,79,4,90,82,115,45,837,300,1137,Good
KS,178060,ANGELS CARE HOME HEALTH,11 NORTH HIGHLAND AVENUE,CHANUTE,66720,6204320025,Local,50,50,50,50,50,50,10/6/2004,4,4,90,5,89,3,84,4,87,87,564,43,837,300,1137,Good
MN,248060,PERHAM LIVING HOME CARE,735 3RD STREET SOUTHWEST,PERHAM,56573,2183471880,Hospital Based Program,50,50,50,50,50,50,7/16/1998,4,4,88,4,85,5,93,3,87,84,118,42,837,300,1137,Good
MT,277039,MARCUS DALY MEM HOSP HHA,1200 WESTWOOD DR,HAMILTON,59840,4063636503,Hospital Based Program,50,50,50,50,50,50,4/1/1985,4,5,91,5,93,2,78,4,89,86,94,32,837,300,1137,Good
NY,337439,"A & T CERTIFIED HOME CARE, LLC","337 NORTH MAIN STREET,  SUITE 9-A",NEW CITY,10956,8457088182,Local,50,50,50,50,50,50,3/9/2011,4,5,92,4,89,4,87,3,89,80,67,32,837,300,1137,Good
OK,377755,SECURE HOME CARE,305 S MAIN STREET SUITE B,EUFAULA,74432,9186184248,Local,50,50,50,50,50,50,2/10/2012,4,5,93,5,94,3,83,3,86,81,51,48,837,300,1137,Good
SD,437086,GOOD SAMARITAN SOC-HOME HEALTH OF THE BLACK HILLS,1104 JACKSON BLVD SUITE B,RAPID CITY,57702,6053420529,Local,50,50,50,50,0,50,10/19/2015,5,5,90,5,89,5,90,3,84,74,62,39,887,250,1137,Good
TN,447312,AMEDISYS HOME HEALTH CARE,1420 DUTCH VALLEY ROAD SUITE A,KNOXVILLE,37918,8655842510,Local,50,50,50,50,50,50,8/31/1984,4,5,91,4,86,3,83,4,90,87,351,28,837,300,1137,Good
TX,677843,ARC HOME HEALTHCARE,2277 MASCH BRANCH RD,DENTON,76207,9405856338,Local,50,50,50,50,50,50,3/10/2006,4,4,89,4,89,4,86,4,88,85,146,32,837,300,1137,Good
UT,467220,ASPEN RIDGE HOME HEALTH,5323 SOUTH MURRAY BOULEVARD,MURRAY,84123,8017133248,Local,50,50,50,50,50,50,6/21/2005,4,4,89,5,91,3,82,4,90,85,326,38,837,300,1137,Good
VA,497260,CARILION HOME CARE SERVICES,701 RANDOLPH STREET SUITE 110,RADFORD,24141,5406339330,Hospital Based Program,50,50,50,50,50,50,1/13/1982,4,4,90,5,89,3,82,4,91,85,423,29,837,300,1137,Good
AL,17159,AMEDISYS HOME HEALTH,2560 COUNTY ROAD 112,DOTHAN,36303,8662050818,Local,50,50,50,50,50,50,7/26/2006,4,4,91,4,88,5,88,3,86,83,306,26,836,300,1136,Good
AR,47090,BAPTIST HEALTH HOME HEALTH-LR,"11900 COLONEL GLENN ROAD, SUITE 2000",LITTLE ROCK,72210,5012027480,Hospital Based Program,50,50,50,50,50,50,6/19/1984,4,4,90,4,86,4,87,4,88,85,314,25,836,300,1136,Good
AZ,37264,"HUALAPAI HOME HEALTH CARE, INC","2505 HUALAPAI MOUNTAIN ROAD, SUITE  E",KINGMAN,86401,9287539015,Local,50,50,50,50,50,50,4/29/2009,4,5,92,5,90,3,82,3,85,87,160,33,836,300,1136,Good
CA,59010,CENTRAL COAST HOME HEALTH INC,253 GRANADA DR STE D,SAN LUIS OBISPO,93401,8055432244,Local,50,50,50,50,50,50,1/16/2009,4,5,92,5,89,2,80,4,89,86,344,27,836,300,1136,Good
CA,59541,"EXECUTIVE HOME HEALTH, INC","750 SOUTH RAYMOND AVE, SUITE 123",PASADENA,91105,6262276218,Local,50,50,50,50,50,50,6/4/2013,4,5,94,5,93,2,79,4,88,82,73,24,836,300,1136,Good
FL,107482,BAPTIST HOME HEALTH CARE,3563 PHILLIPS HIGHWAY  STE 202,JACKSONVILLE,32207,9042024300,Hospital Based Program,50,50,50,50,50,50,10/1/1994,4,4,90,4,88,4,86,4,87,85,359,28,836,300,1136,Good
GA,117308,HOME CARE SOLUTIONS,136 REMCO SHOPS LANE,RINGGOLD,30736,7068668881,Local,50,50,50,50,50,50,2/1/1979,4,4,89,4,88,5,90,3,86,83,276,30,836,300,1136,Good
IA,167159,UNITYPOINT AT HOME,2905 HAMILTON BOULEVARD,SIOUX CITY,51104,7122793279,Local,50,50,50,50,50,50,4/16/1985,4,4,90,5,89,3,83,4,89,85,330,39,836,300,1136,Good
LA,197038,EVANGELINE HOME HEALTH LLC,1424 FUSELIER AVE,BASILE,70515,3374325986,Local,50,50,50,50,50,50,11/6/1972,4,4,90,5,89,4,85,3,86,86,303,32,836,300,1136,Good
MN,247145,KINDRED AT HOME,1970 OAKCREST AVENUE,ROSEVILLE,55113,6516366330,Official Health Agency,50,50,50,50,50,50,9/23/1983,4,5,91,5,88,3,82,3,88,87,324,29,836,300,1136,Good
MO,267037,PIKE COUNTY HEALTH DEPT/HOME HEALTH & HOSPICE,1 HEALTH CARE PLACE,BOWLING GREEN,63334,5733242111,Official Health Agency,50,50,50,50,50,50,2/16/1969,4,4,90,5,89,4,85,3,86,86,99,54,836,300,1136,Good
NC,347024,LIBERTY HOME CARE,300 W PENNSYVANIA AVENUE,SOUTHERN PINES,28387,9108153122,Local,50,50,50,50,50,50,10/30/1969,4,4,90,5,90,4,87,3,88,81,141,22,836,300,1136,Good
NC,347065,NHRMC HOME CARE,7864 US HIGHWAY 117 S  SUITE C,ROCKY POINT,28457,9102591224,Local,50,50,50,50,50,50,6/3/1974,4,4,91,5,90,3,84,4,87,84,339,31,836,300,1136,Good
NC,347202,SENTARA HOME CARE SERVICES,300 EAST CHURCH STREET,ELIZABETH CITY,27909,7575533000,Local,50,50,50,50,50,50,12/1/1993,4,4,90,5,89,4,86,3,85,86,199,30,836,300,1136,Good
NH,307021,ROCKINGHAM VNA AND HOSPICE,137 EPPING ROAD,EXETER,3833,6037722981,Visiting Nurse Association,50,50,50,50,50,50,7/1/1966,4,4,89,4,85,5,88,3,87,87,683,40,836,300,1136,Good
NY,337165,SULLIVAN COUNTY PUBLIC HEALTH SERVICES CHHA,50 COMMUNITY LANE,LIBERTY,12754,8452925910,Combination Government Voluntary,50,50,50,50,50,50,3/23/1973,4,5,91,4,85,3,84,4,90,86,195,34,836,300,1136,Good
NY,337173,HAMILTON CO PUBLIC HEALTH CHHA,139 WHITE BIRCH LANE PO BOX 250,INDIAN LAKE,12842,5186486141,Official Health Agency,50,50,0,0,50,50,10/31/1978,5,5,94,5,90,4,85,5,93,94,56,60,936,200,1136,Good
PA,397675,"BAYADA HOME HEALTH CARE, INC.",2080 NORTH TOWNSHIP BOULEVARD,PITTSTON,18640,5708835700,Local,50,50,50,50,50,50,6/11/1996,4,4,91,4,88,4,85,4,89,83,305,32,836,300,1136,Good
RI,417023,SOUTH COUNTY HOME HEALTH,14 WOODRUFF AVE. SUITE # 7,NARRAGANSETT,2882,4017820500,Visiting Nurse Association,50,50,50,50,50,50,1/1/1968,4,4,88,5,90,3,84,4,90,84,215,36,836,300,1136,Good
SC,427856,KINDRED AT HOME,415 E ROBERTSON BLVD,WALTERBORO,29488,8435429540,Local,50,50,50,50,50,50,7/1/1974,4,4,90,4,88,4,87,4,87,84,416,26,836,300,1136,Good
TX,453185,NEW LIFE HOME HEALTH SERVICES,916 WEST NOLANA LOOP SUITE C,PHARR,78577,9567834746,Local,50,50,50,50,50,0,11/16/2004,5,5,93,5,88,4,85,4,85,75,50,19,886,250,1136,Good
TX,459081,STAR CARE HOME HEALTH INC,620 N GRANT SUITE 100,ODESSA,79761,4325807707,Local,50,50,50,50,50,50,1/8/1997,4,4,89,5,91,4,87,3,85,84,75,24,836,300,1136,Good
TX,459482,HIGH PLAINS SENIOR CARE,1800 WASHINGTON SUITE 115 & 315,AMARILLO,79102,8063551899,Local,50,50,50,50,50,50,2/9/2000,4,5,91,4,88,3,84,4,88,85,357,32,836,300,1136,Good
TX,677616,INTREPID USA HEALTHCARE SERVICES,1128 NORTH MEMORIAL FWY SUITE A,NEDERLAND,77627,4097220515,Local,50,50,50,50,50,50,5/14/1993,4,4,90,5,90,3,83,4,90,83,204,32,836,300,1136,Good
TX,747824,A NURSES TOUCH HOME HEALTH,1800 BROTHERS BLVD SUITE B,COLLEGE STATION,77845,9796933208,Local,50,50,50,50,50,50,3/4/2013,4,4,92,4,86,5,93,3,85,80,40,38,836,300,1136,Good
WV,517135,LOGAN ARH HOME HEALTH AGENCY,113 LB&T WAY,LOGAN,25601,3047522535,Local,50,50,50,50,50,50,9/10/2008,4,5,90,4,88,3,81,4,90,87,120,22,836,300,1136,Good
AL,17066,SPRINGHILL HOME HEALTH AND HOSPICE,10 MOBILE STREET,MOBILE,36607,2514338172,Local,50,50,50,50,50,50,2/24/1986,4,4,91,4,88,5,89,3,86,81,165,29,835,300,1135,Good
AR,47156,AREA AGENCY ON AGING OF WESTERN ARKANSAS INC,333 SOUTH FIRST STREET,PARIS,72855,4799636868,Local,50,50,50,50,50,50,7/1/1995,4,4,87,4,86,4,86,4,86,90,83,40,835,300,1135,Good
CA,57230,RIDGECREST REGIONAL HOSPITAL HOME HEALTH AGENCY,1653 TRIANGLE DRIVE,RIDGECREST,93555,7604460624,Hospital Based Program,50,50,50,50,50,50,5/9/1979,4,5,92,5,89,2,77,4,91,86,68,33,835,300,1135,Good
CA,57539,SHARP HOME HEALTH,8080 DAGGET STREET SUITE 200,SAN DIEGO,92111,8585414850,Hospital Based Program,50,50,50,50,50,50,7/14/1983,4,4,89,4,88,4,85,4,88,85,1329,31,835,300,1135,Good
FL,109153,ENCOMPASS HEALTH HOME HEALTH,20452 CENTRAL AVENUE WEST,BLOUNTSTOWN,32424,8506745455,Local,50,50,50,50,50,50,11/21/2008,4,4,89,5,90,4,86,3,87,83,282,26,835,300,1135,Good
FL,109177,"ELDER'S CHOICE, INC.",1976 S CONGRESS AVE,WEST PALM BEACH,33406,5614392877,Local,50,50,50,50,50,50,1/22/2009,4,4,91,5,90,3,81,4,89,84,124,32,835,300,1135,Good
FL,109366,ALL ABOUT HOME CARE INC,4100 CENTER POINTE DR STE 111 & 112,FORT MYERS,33916,2394182550,Local,50,50,50,50,50,50,3/25/2009,4,5,93,4,87,3,83,4,88,84,237,26,835,300,1135,Good
IA,167237,BREMER COUNTY HEALTH DEPARTMENT,403 3RD STREET SE,WAVERLY,50677,3193522990,Local,50,50,50,50,50,50,4/18/1995,4,5,90,4,87,3,83,4,86,89,111,52,835,300,1135,Good
ID,137028,ST LUKES HOME CARE,3330 E LOUISE DR SUITE 400,MERIDIAN,83642,2083812138,Hospital Based Program,50,50,50,50,50,50,1/20/1984,4,4,89,4,86,4,87,4,87,86,367,35,835,300,1135,Good
IN,157651,KINDRED AT HOME,5250 E US HIGHWAY 36 SUITE 850,AVON,46123,3174812281,Local,50,50,50,50,50,50,11/20/2012,4,5,90,5,91,3,84,3,87,83,161,30,835,300,1135,Good
MI,237695,A Z HOME HEALTH CARE,"1230 S LINDEN RD, SUITE 3",FLINT,48532,8107427121,Local,50,50,50,50,50,50,6/29/2007,4,4,91,4,86,5,88,3,84,86,57,40,835,300,1135,Good
OH,367167,"AMERICAN MERCY HOME CARE, LLC","4000 SMITH ROAD, SUITE 200",CINCINNATI,45209,5137314600,Local,50,50,50,50,50,50,11/4/1981,4,5,90,4,88,4,86,3,88,83,345,30,835,300,1135,Good
OH,368122,"ENHANCED REHABILITATION SERVICES, INC","8437 MAYFIELD ROAD, SUITE 102",CHESTERLAND,44026,4403527533,Local,50,50,50,50,50,50,11/14/2005,4,5,93,5,92,3,84,3,83,83,146,28,835,300,1135,Good
OH,369023,QUALITY LIFE SERVICES HOME CARE,"1251 NILLES ROAD, SUITE 3",FAIRFIELD,45014,5138601481,Local,50,50,50,50,50,50,8/6/2013,4,4,90,5,89,3,84,4,89,83,93,21,835,300,1135,Good
OK,377035,SSM HEALTH AT HOME HOME HEALTH - OKLAHOMA,"608 NW 9TH STREET, SUITE 6200",OKLAHOMA CITY,73103,4052311200,Local,50,50,50,50,50,50,2/1/1983,4,4,91,5,89,4,87,3,85,83,169,22,835,300,1135,Good
OK,377637,CARTER HEALTHCARE,2846 E 101ST STREET,TULSA,74137,9184254000,Local,50,50,50,50,50,50,4/5/2001,4,5,92,4,89,3,83,4,88,83,289,29,835,300,1135,Good
TX,458399,IPH HOME HEALTH CARE,190 ABNER JACKSON PKWY STE 210,LAKE JACKSON,77566,9798488151,Local,50,50,50,50,50,50,5/18/1995,4,4,87,4,87,4,87,4,90,84,132,30,835,300,1135,Good
